# File Name: C:\Users\Valls-testedDX\Desktop\n61_16.11.21_Advance_miRNA_RT-PCR_Neurognos_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 272323343
# Instrument Serial Number: 272323343
# Heated Cover Serial Number:
# Block Serial Number: 19041571
# Run Start Date/Time: 2021-11-16 10:47:06 AM CLST
# Run End Date/Time: 2021-11-16 11:23:49 AM CLST
# Run Duration: 36 minutes 42 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-11-16 11:39:36 AM CLST
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported On: 2021-12-15 10:48:38 AM CLST
"Well","Well Position","Cycle Number","X1_M1","X3_M3","X2_M2","X4_M4"
"74","G2","2","163179.77","17086.746","18723.86","194175.27"
"75","G3","2","155161.1","18488.018","17156.781","191628.62"
"76","G4","2","-9078.601","-679.8232","-361.77747","663.7366"
"77","G5","2","-11443.213","-1004.52234","-219.18042","-507.38812"
"78","G6","2","-7308.297","-741.0657","-726.23364","732.90106"
"79","G7","2","-5160.4443","-263.09473","222.78258","215.28288"
"80","G8","2","-7936.629","13.105137","-270.80737","-771.2341"
"81","G9","2","-7458.2754","-38.315907","861.1394","1709.0115"
"82","G10","2","-7769.7017","-833.03906","1252.9001","870.5628"
"83","G11","2","-9602.899","-1043.1764","356.39105","-749.18085"
"84","G12","2","-12835.707","-943.939","681.37537","-997.5091"
"85","H1","2","164236.25","15827.246","25236.57","197304.7"
"86","H2","2","154294.95","16070.536","20079.719","188802.02"
"87","H3","2","149336.8","17382.758","18771.227","186083.11"
"88","H4","2","-6823.794","-16.548897","498.28165","1142.2222"
"89","H5","2","-598.1107","0.16516604","1560.2166","300.16205"
"90","H6","2","-8069.3965","760.09546","466.98386","175.87512"
"91","H7","2","-12431.263","-300.0369","-816.98395","-1607.197"
"92","H8","2","-9308.649","37.137566","310.08865","-891.04376"
"93","H9","2","-15885.795","-938.5541","536.37665","-32.588463"
"94","H10","2","-10471.04","-118.32654","840.2467","603.04034"
"95","H11","2","-10528.606","-835.3831","307.01532","-1579.1078"
"96","H12","2","-5063.3657","277.28247","2654.515","665.4383"
"1","A1","3","149730.11","13132.454","21370.232","178324.81"
"2","A2","3","161349.25","17375.453","20609.443","195109.84"
"3","A3","3","160473.28","18017.729","18353.344","192051.31"
"4","A4","3","149541.64","18664.1","16196.999","177024.4"
"5","A5","3","144466.0","19078.758","14323.856","173726.56"
"6","A6","3","141444.22","19624.615","14200.869","170407.86"
"7","A7","3","-6237.272","267.2842","-660.86523","-17.797794"
"8","A8","3","-1514.3685","281.78232","317.03403","1000.67926"
"9","A9","3","-7407.503","17.76091","-754.31964","320.74054"
"10","A10","3","-6117.9707","790.4583","-254.20648","1232.4672"
"11","A11","3","-3523.1885","625.15643","748.1644","99.42572"
"12","A12","3","-3996.0422","1254.5641","53.370857","1143.5128"
"13","B1","3","163638.12","15629.557","21481.287","196768.53"
