# File Name: C:\Users\Valls-testedDX\Desktop\n61_16.11.21_Advance_miRNA_RT-PCR_Neurognos_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 272323343
# Instrument Serial Number: 272323343
# Heated Cover Serial Number:
# Block Serial Number: 19041571
# Run Start Date/Time: 2021-11-16 10:47:06 AM CLST
# Run End Date/Time: 2021-11-16 11:23:49 AM CLST
# Run Duration: 36 minutes 42 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-11-16 11:39:36 AM CLST
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported On: 2021-12-15 10:48:38 AM CLST
"Well","Well Position","Cycle Number","FAM","ROX"
"13","B1","18","284628.4","200656.64"
"13","B1","19","298063.12","200126.12"
"13","B1","20","309692.97","199924.02"
"13","B1","21","321922.56","200326.73"
"13","B1","22","334107.53","200462.84"
"13","B1","23","344665.72","200550.39"
"13","B1","24","355474.56","200864.1"
"13","B1","25","365003.84","201253.33"
"13","B1","26","374396.16","201444.22"
"13","B1","27","382316.03","201589.8"
"13","B1","28","390049.94","201677.7"
"13","B1","29","397849.9","201554.58"
"13","B1","30","406139.25","201574.42"
"13","B1","31","413327.3","201461.38"
"13","B1","32","419552.9","201655.92"
"13","B1","33","426380.94","201511.73"
"13","B1","34","433620.6","201590.08"
"13","B1","35","439881.56","202114.86"
"13","B1","36","446460.4","202190.64"
"13","B1","37","453324.1","202150.83"
"13","B1","38","460432.1","202224.52"
"13","B1","39","467179.06","202263.94"
"13","B1","40","471811.97","202745.38"
"14","B2","1","149532.6","194144.75"
"14","B2","2","149674.44","194254.84"
"14","B2","3","151435.69","195575.47"
"14","B2","4","153171.78","196576.89"
"14","B2","5","155134.39","197394.19"
"14","B2","6","156863.4","198117.86"
"14","B2","7","158739.44","198376.25"
"14","B2","8","161068.31","198640.98"
"14","B2","9","164624.33","198691.56"
"14","B2","10","170329.72","198817.34"
"14","B2","11","178589.16","199126.02"
"14","B2","12","190090.84","199060.48"
"14","B2","13","203698.61","198932.4"
"14","B2","14","218803.03","199196.36"
"14","B2","15","235022.06","199179.55"
"14","B2","16","250336.16","199130.72"
"14","B2","17","265529.28","199030.56"
"14","B2","18","279985.9","198823.81"
"14","B2","19","293200.47","198874.89"
"14","B2","20","304886.28","199368.58"
"14","B2","21","317314.34","199326.56"
"14","B2","22","328834.47","198979.86"
"14","B2","23","339404.78","198777.83"
"14","B2","24","349322.1","198926.06"
"14","B2","25","358511.94","198941.58"
"14","B2","26","367111.12","199063.62"
"14","B2","27","375987.06","199556.0"
"14","B2","28","383275.94","199536.47"
"14","B2","29","391801.97","199618.45"
"14","B2","30","398755.2","199490.0"
"14","B2","31","405541.6","199568.39"
"14","B2","32","412714.88","199654.08"
"14","B2","33","419007.7","199472.86"
"14","B2","34","425841.84","199473.48"
"14","B2","35","432627.6","199834.0"
"14","B2","36","439718.38","199924.38"
"14","B2","37","445612.03","199956.27"
"14","B2","38","452506.72","200190.12"
"14","B2","39","459309.34","200485.47"
"14","B2","40","464415.3","200470.06"
"15","B3","1","147166.31","190888.05"
"15","B3","2","147272.42","190994.67"
"15","B3","3","148692.17","192352.86"
"15","B3","4","150501.67","193655.4"
"15","B3","5","152777.52","194499.7"
"15","B3","6","155252.77","194947.97"
"15","B3","7","157175.86","195528.34"
"15","B3","8","160018.73","195990.31"
"15","B3","9","163602.6","196076.45"
"15","B3","10","168566.81","196288.77"
"15","B3","11","176708.81","196387.03"
"15","B3","12","188189.03","196592.72"
"15","B3","13","202043.47","196766.28"
"15","B3","14","217663.34","196699.94"
"15","B3","15","233082.55","196845.98"
"15","B3","16","249016.19","196885.62"
"15","B3","17","264536.53","196999.8"
"15","B3","18","278251.03","197064.7"
"15","B3","19","292049.88","196922.4"
"15","B3","20","304815.72","196808.36"
"15","B3","21","316632.6","196780.38"
"15","B3","22","327629.78","196600.22"
"15","B3","23","338097.56","196558.69"
"15","B3","24","348555.06","196447.52"
"15","B3","25","356870.6","196598.2"
"15","B3","26","366195.84","196587.67"
"15","B3","27","374524.25","196595.81"
"15","B3","28","382288.44","196763.94"
"15","B3","29","390002.4","196774.69"
"15","B3","30","397244.94","196863.4"
"15","B3","31","404209.0","197012.69"
"15","B3","32","411288.9","197062.5"
"15","B3","33","417049.8","197144.02"
"15","B3","34","423582.12","197043.33"
"15","B3","35","429944.53","197245.72"
"15","B3","36","436662.38","197136.78"
"15","B3","37","444081.03","197258.98"
"15","B3","38","450514.7","197504.84"
"15","B3","39","456808.53","197447.42"
"15","B3","40","461951.66","197391.42"
"16","B4","1","131744.58","181973.28"
"16","B4","2","131847.9","182102.56"
"16","B4","3","133335.64","183706.8"
"16","B4","4","135261.16","185010.67"
"16","B4","5","136130.14","185630.48"
"16","B4","6","136739.06","186348.31"
"16","B4","7","138189.8","186481.8"
"16","B4","8","139250.25","186611.98"
"16","B4","9","139395.19","186857.17"
"16","B4","10","139549.73","187085.05"
"16","B4","11","139543.0","187204.22"
"16","B4","12","140119.34","187377.55"
"16","B4","13","140273.12","187317.75"
"16","B4","14","140925.94","187158.31"
"16","B4","15","140906.19","187261.3"
"16","B4","16","141067.88","187139.58"
"16","B4","17","141197.98","187205.64"
"16","B4","18","140961.98","187264.95"
"16","B4","19","140925.83","187216.98"
"16","B4","20","141883.97","187447.08"
"16","B4","21","141854.83","187307.86"
"16","B4","22","141649.72","187046.86"
"16","B4","23","141579.36","186915.86"
"16","B4","24","141848.6","186970.67"
"16","B4","25","142085.95","187002.73"
"16","B4","26","142424.55","187094.81"
"16","B4","27","142274.44","187207.3"
"16","B4","28","142117.36","187296.16"
"16","B4","29","142617.78","187146.39"
"16","B4","30","142661.94","187113.28"
"16","B4","31","143320.19","187019.22"
"16","B4","32","143958.44","187295.12"
"16","B4","33","145587.14","187324.36"
"16","B4","34","149136.53","187276.4"
"16","B4","35","154759.05","187357.77"
"16","B4","36","163377.14","187297.77"
"16","B4","37","174644.06","187270.98"
"16","B4","38","189033.89","187388.25"
"16","B4","39","204428.3","187432.83"
"16","B4","40","218782.16","187401.9"
"17","B5","1","130157.39","170441.9"
"17","B5","2","130241.28","170520.02"
"17","B5","3","131522.84","171563.47"
"17","B5","4","133395.38","172686.31"
"17","B5","5","134527.8","173374.12"
"17","B5","6","136024.52","173932.62"
"17","B5","7","136950.33","174131.78"
"17","B5","8","137504.17","174563.28"
"17","B5","9","138249.02","174736.58"
"17","B5","10","138703.44","174913.02"
"17","B5","11","138989.89","175020.19"
"17","B5","12","139497.45","175338.95"
"17","B5","13","139414.64","175334.16"
"17","B5","14","139551.12","175169.77"
"17","B5","15","139701.03","174707.48"
"17","B5","16","139713.77","174430.84"
"17","B5","17","140545.36","174401.53"
"17","B5","18","140663.19","174606.64"
"17","B5","19","140607.78","174931.1"
"17","B5","20","140478.66","174775.11"
"17","B5","21","141052.42","174541.6"
"17","B5","22","141568.1","174438.52"
"17","B5","23","141558.67","174392.81"
"17","B5","24","141778.45","174484.4"
"17","B5","25","141319.52","174548.17"
"17","B5","26","141001.69","174634.86"
"17","B5","27","141307.84","174486.5"
"17","B5","28","141567.7","174456.81"
"17","B5","29","141819.77","174585.17"
"17","B5","30","142720.06","174482.9"
"17","B5","31","142682.98","174584.23"
"17","B5","32","142913.89","174782.16"
"17","B5","33","144481.23","174796.56"
"17","B5","34","148185.44","174680.03"
"17","B5","35","153859.5","174694.53"
"17","B5","36","162127.12","174621.58"
"17","B5","37","173060.17","174895.88"
"17","B5","38","186256.52","175079.28"
"17","B5","39","199776.64","174906.28"
"17","B5","40","211692.12","174731.31"
"18","B6","1","146490.48","187735.5"
"18","B6","2","146535.05","187735.0"
"18","B6","3","147003.33","187742.02"
"18","B6","4","147168.78","187807.97"
"18","B6","5","147956.02","188222.1"
"18","B6","6","149765.45","188957.52"
"18","B6","7","151348.6","189707.73"
"18","B6","8","152104.67","190274.12"
"18","B6","9","152892.1","190482.17"
"18","B6","10","153479.06","190349.78"
"18","B6","11","153171.7","190183.4"
"18","B6","12","153123.8","190097.6"
